Village_Name,State_Name,District_Name,Block_Name,Pincode,Input_Parameter1,Input_Parameter2,Input_Parameter3,Input_Parameter4,Input_Parameter0
Gudra,Bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845456.0,"GUDRA,Bihar","GUDRA,PASHCHIM CHAMPARAN,Bihar","GUDRA,MAJHAULIA,Bihar","GUDRA,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar","GUDRA,Bihar,845456.0"
Gulikera,Jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105.0,"GULIKERA,Jharkhand","GULIKERA,PASHCHIMI SINGHBHUM,Jharkhand","GULIKERA,GUDRI,Jharkhand","GULIKERA,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand","GULIKERA,Jharkhand,833105.0"
Gundijora,Jharkhand,PASHCHIMI SINGHBHUM,NOAMUNDI,833218.0,"GUNDIJORA,Jharkhand","GUNDIJORA,PASHCHIMI SINGHBHUM,Jharkhand","GUNDIJORA,NOAMUNDI,Jharkhand","GUNDIJORA,NOAMUNDI,PASHCHIMI SINGHBHUM,Jharkhand","GUNDIJORA,Jharkhand,833218.0"
Gunjibadi,Odisha,KANDHAMAL,K.NUAGAM,762102.0,"GUNJIBADI,Odisha","GUNJIBADI,KANDHAMAL,Odisha","GUNJIBADI,K.NUAGAM,Odisha","GUNJIBADI,K.NUAGAM,KANDHAMAL,Odisha","GUNJIBADI,Odisha,762102.0"
Gurchihwa,Uttar Pradesh,BALRAMPUR,PACHPERWA,271206.0,"GURCHIHWA,Uttar Pradesh","GURCHIHWA,BALRAMPUR,Uttar Pradesh","GURCHIHWA,PACHPERWA,Uttar Pradesh","GURCHIHWA,PACHPERWA,BALRAMPUR,Uttar Pradesh","GURCHIHWA,Uttar Pradesh,271206.0"
Gurdi,Jharkhand,PALAMU,CHHATARPUR,822113.0,"GURDI,Jharkhand","GURDI,PALAMU,Jharkhand","GURDI,CHHATARPUR,Jharkhand","GURDI,CHHATARPUR,PALAMU,Jharkhand","GURDI,Jharkhand,822113.0"
Haldia,Jharkhand,PASHCHIMI SINGHBHUM,MAJHGAON,833214.0,"HALDIA,Jharkhand","HALDIA,PASHCHIMI SINGHBHUM,Jharkhand","HALDIA,MAJHGAON,Jharkhand","HALDIA,MAJHGAON,PASHCHIMI SINGHBHUM,Jharkhand","HALDIA,Jharkhand,833214.0"
Hapugutu,Jharkhand,PASHCHIMI SINGHBHUM,HATGAMAHARIA,833214.0,"HAPUGUTU,Jharkhand","HAPUGUTU,PASHCHIMI SINGHBHUM,Jharkhand","HAPUGUTU,HATGAMAHARIA,Jharkhand","HAPUGUTU,HATGAMAHARIA,PASHCHIMI SINGHBHUM,Jharkhand","HAPUGUTU,Jharkhand,833214.0"
Haraiya,Jharkhand,PALAMU,PANKI,822113.0,"HARAIYA,Jharkhand","HARAIYA,PALAMU,Jharkhand","HARAIYA,PANKI,Jharkhand","HARAIYA,PANKI,PALAMU,Jharkhand","HARAIYA,Jharkhand,822113.0"
Haridaput,Odisha,KORAPUT,JEYPORE,764055.0,"HARIDAPUT,Odisha","HARIDAPUT,KORAPUT,Odisha","HARIDAPUT,JEYPORE,Odisha","HARIDAPUT,JEYPORE,KORAPUT,Odisha","HARIDAPUT,Odisha,764055.0"
Haripur,Bihar,PASHCHIM CHAMPARAN,THAKARAHAN,845307.0,"HARIPUR,Bihar","HARIPUR,PASHCHIM CHAMPARAN,Bihar","HARIPUR,THAKARAHAN,Bihar","HARIPUR,THAKARAHAN,PASHCHIM CHAMPARAN,Bihar","HARIPUR,Bihar,845307.0"
Harka,Bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105.0,"HARKA,Bihar","HARKA,PASHCHIM CHAMPARAN,Bihar","HARKA,BAGAHA-II (SIDHAW),Bihar","HARKA,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar","HARKA,Bihar,845105.0"
Harpur,Bihar,PASHCHIM CHAMPARAN,BAGAHA-I,845453.0,"HARPUR,Bihar","HARPUR,PASHCHIM CHAMPARAN,Bihar","HARPUR,BAGAHA-I,Bihar","HARPUR,BAGAHA-I,PASHCHIM CHAMPARAN,Bihar","HARPUR,Bihar,845453.0"
Harvashpur,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271604.0,"HARVASHPUR,Uttar Pradesh","HARVASHPUR,BALRAMPUR,Uttar Pradesh","HARVASHPUR,BALRAMPUR,Uttar Pradesh","HARVASHPUR,BALRAMPUR,BALRAMPUR,Uttar Pradesh","HARVASHPUR,Uttar Pradesh,271604.0"
Hasana Pur,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208.0,"HASANA PUR,Uttar Pradesh","HASANA PUR,BALRAMPUR,Uttar Pradesh","HASANA PUR,HARAIYA SATGHARWA,Uttar Pradesh","HASANA PUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","HASANA PUR,Uttar Pradesh,271208.0"
Haswadol,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271604.0,"HASWADOL,Uttar Pradesh","HASWADOL,BALRAMPUR,Uttar Pradesh","HASWADOL,BALRAMPUR,Uttar Pradesh","HASWADOL,BALRAMPUR,BALRAMPUR,Uttar Pradesh","HASWADOL,Uttar Pradesh,271604.0"
Hathianwa,Bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105.0,"HATHIANWA,Bihar","HATHIANWA,PASHCHIM CHAMPARAN,Bihar","HATHIANWA,BAGAHA-II (SIDHAW),Bihar","HATHIANWA,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar","HATHIANWA,Bihar,845105.0"
Hathigarda,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271706.0,"HATHIGARDA,Uttar Pradesh","HATHIGARDA,BALRAMPUR,Uttar Pradesh","HATHIGARDA,HARAIYA SATGHARWA,Uttar Pradesh","HATHIGARDA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","HATHIGARDA,Uttar Pradesh,271706.0"
Hathimanda,Jharkhand,PASHCHIMI SINGHBHUM,JHINKPANI,833215.0,"HATHIMANDA,Jharkhand","HATHIMANDA,PASHCHIMI SINGHBHUM,Jharkhand","HATHIMANDA,JHINKPANI,Jharkhand","HATHIMANDA,JHINKPANI,PASHCHIMI SINGHBHUM,Jharkhand","HATHIMANDA,Jharkhand,833215.0"
Hejeya,Jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102.0,"HEJEYA,Jharkhand","HEJEYA,PASHCHIMI SINGHBHUM,Jharkhand","HEJEYA,CHAKRADHARPUR,Jharkhand","HEJEYA,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand","HEJEYA,Jharkhand,833102.0"
Hesla,Jharkhand,PALAMU,CHHATARPUR,822113.0,"HESLA,Jharkhand","HESLA,PALAMU,Jharkhand","HESLA,CHHATARPUR,Jharkhand","HESLA,CHHATARPUR,PALAMU,Jharkhand","HESLA,Jharkhand,822113.0"
Hindola,Odisha,MAYURBHANJ,RARUAN,757035.0,"HINDOLA,Odisha","HINDOLA,MAYURBHANJ,Odisha","HINDOLA,RARUAN,Odisha","HINDOLA,RARUAN,MAYURBHANJ,Odisha","HINDOLA,Odisha,757035.0"
Hinduli Kalan,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"HINDULI KALAN,Uttar Pradesh","HINDULI KALAN,BALRAMPUR,Uttar Pradesh","HINDULI KALAN,HARAIYA SATGHARWA,Uttar Pradesh","HINDULI KALAN,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","HINDULI KALAN,Uttar Pradesh,271207.0"
Hirapur,Odisha,BOLANGIR,LOISINGHA,815353.0,"HIRAPUR,Odisha","HIRAPUR,BOLANGIR,Odisha","HIRAPUR,LOISINGHA,Odisha","HIRAPUR,LOISINGHA,BOLANGIR,Odisha","HIRAPUR,Odisha,815353.0"
Hirli,Odisha,NABARANGPUR,PAPADAHANDI,764059.0,"HIRLI,Odisha","HIRLI,NABARANGPUR,Odisha","HIRLI,PAPADAHANDI,Odisha","HIRLI,PAPADAHANDI,NABARANGPUR,Odisha","HIRLI,Odisha,764059.0"
Hobalkand,Jharkhand,PASHCHIMI SINGHBHUM,HATGAMAHARIA,833214.0,"HOBALKAND,Jharkhand","HOBALKAND,PASHCHIMI SINGHBHUM,Jharkhand","HOBALKAND,HATGAMAHARIA,Jharkhand","HOBALKAND,HATGAMAHARIA,PASHCHIMI SINGHBHUM,Jharkhand","HOBALKAND,Jharkhand,833214.0"
Hotai,Jharkhand,PALAMU,PANKI,822118.0,"HOTAI,Jharkhand","HOTAI,PALAMU,Jharkhand","HOTAI,PANKI,Jharkhand","HOTAI,PANKI,PALAMU,Jharkhand","HOTAI,Jharkhand,822118.0"
Hoyohatu,Jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102.0,"HOYOHATU,Jharkhand","HOYOHATU,PASHCHIMI SINGHBHUM,Jharkhand","HOYOHATU,CHAKRADHARPUR,Jharkhand","HOYOHATU,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand","HOYOHATU,Jharkhand,833102.0"
Hulsam,Jharkhand,PALAMU,CHHATARPUR,822113.0,"HULSAM,Jharkhand","HULSAM,PALAMU,Jharkhand","HULSAM,CHHATARPUR,Jharkhand","HULSAM,CHHATARPUR,PALAMU,Jharkhand","HULSAM,Jharkhand,822113.0"
Hussainigurha,Jharkhand,PALAMU,PANKI,822122.0,"HUSSAINIGURHA,Jharkhand","HUSSAINIGURHA,PALAMU,Jharkhand","HUSSAINIGURHA,PANKI,Jharkhand","HUSSAINIGURHA,PANKI,PALAMU,Jharkhand","HUSSAINIGURHA,Jharkhand,822122.0"
Indwara,Bihar,SITAMARHI,SONBARSA,843330.0,"INDWARA,Bihar","INDWARA,SITAMARHI,Bihar","INDWARA,SONBARSA,Bihar","INDWARA,SONBARSA,SITAMARHI,Bihar","INDWARA,Bihar,843330.0"
Islampur,Bihar,SITAMARHI,NANPUR,843326.0,"ISLAMPUR,Bihar","ISLAMPUR,SITAMARHI,Bihar","ISLAMPUR,NANPUR,Bihar","ISLAMPUR,NANPUR,SITAMARHI,Bihar","ISLAMPUR,Bihar,843326.0"
Itakdag,Jharkhand,PALAMU,CHHATARPUR,822113.0,"ITAKDAG,Jharkhand","ITAKDAG,PALAMU,Jharkhand","ITAKDAG,CHHATARPUR,Jharkhand","ITAKDAG,CHHATARPUR,PALAMU,Jharkhand","ITAKDAG,Jharkhand,822113.0"
Itar,Jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214.0,"ITAR,Jharkhand","ITAR,PASHCHIMI SINGHBHUM,Jharkhand","ITAR,KUMARDUNGI,Jharkhand","ITAR,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand","ITAR,Jharkhand,833214.0"
Jabdaha,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271604.0,"JABDAHA,Uttar Pradesh","JABDAHA,BALRAMPUR,Uttar Pradesh","JABDAHA,BALRAMPUR,Uttar Pradesh","JABDAHA,BALRAMPUR,BALRAMPUR,Uttar Pradesh","JABDAHA,Uttar Pradesh,271604.0"
Jaddapur,Uttar Pradesh,BALRAMPUR,TULSIPUR,211208.0,"JADDAPUR,Uttar Pradesh","JADDAPUR,BALRAMPUR,Uttar Pradesh","JADDAPUR,TULSIPUR,Uttar Pradesh","JADDAPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh","JADDAPUR,Uttar Pradesh,211208.0"
Jafarpur,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,843316.0,"JAFARPUR,Uttar Pradesh","JAFARPUR,BALRAMPUR,Uttar Pradesh","JAFARPUR,REHRA BAZAR,Uttar Pradesh","JAFARPUR,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","JAFARPUR,Uttar Pradesh,843316.0"
Jagadalpur,Odisha,RAYAGADA,MUNIGUDA,752015.0,"JAGADALPUR,Odisha","JAGADALPUR,RAYAGADA,Odisha","JAGADALPUR,MUNIGUDA,Odisha","JAGADALPUR,MUNIGUDA,RAYAGADA,Odisha","JAGADALPUR,Odisha,752015.0"
Jagannath Ballav,Odisha,PURI,PURI SADAR,752002.0,"JAGANNATH BALLAV,Odisha","JAGANNATH BALLAV,PURI,Odisha","JAGANNATH BALLAV,PURI SADAR,Odisha","JAGANNATH BALLAV,PURI SADAR,PURI,Odisha","JAGANNATH BALLAV,Odisha,752002.0"
Jagdis Pur,Uttar Pradesh,BALRAMPUR,PACHPERWA,271206.0,"JAGDIS PUR,Uttar Pradesh","JAGDIS PUR,BALRAMPUR,Uttar Pradesh","JAGDIS PUR,PACHPERWA,Uttar Pradesh","JAGDIS PUR,PACHPERWA,BALRAMPUR,Uttar Pradesh","JAGDIS PUR,Uttar Pradesh,271206.0"
Jamudali,Odisha,MAYURBHANJ,BIJATOLA,757048.0,"JAMUDALI,Odisha","JAMUDALI,MAYURBHANJ,Odisha","JAMUDALI,BIJATOLA,Odisha","JAMUDALI,BIJATOLA,MAYURBHANJ,Odisha","JAMUDALI,Odisha,757048.0"
Janakpur,Odisha,KALAHANDI,BHAWANIPATNA,766001.0,"JANAKPUR,Odisha","JANAKPUR,KALAHANDI,Odisha","JANAKPUR,BHAWANIPATNA,Odisha","JANAKPUR,BHAWANIPATNA,KALAHANDI,Odisha","JANAKPUR,Odisha,766001.0"
Janipur,Bihar,SITAMARHI,NANPUR,843333.0,"JANIPUR,Bihar","JANIPUR,SITAMARHI,Bihar","JANIPUR,NANPUR,Bihar","JANIPUR,NANPUR,SITAMARHI,Bihar","JANIPUR,Bihar,843333.0"
Janniguda,Odisha,KORAPUT,BORIGUMMA,764056.0,"JANNIGUDA,Odisha","JANNIGUDA,KORAPUT,Odisha","JANNIGUDA,BORIGUMMA,Odisha","JANNIGUDA,BORIGUMMA,KORAPUT,Odisha","JANNIGUDA,Odisha,764056.0"
Jaspur,Jharkhand,PALAMU,PANKI,822123.0,"JASPUR,Jharkhand","JASPUR,PALAMU,Jharkhand","JASPUR,PANKI,Jharkhand","JASPUR,PANKI,PALAMU,Jharkhand","JASPUR,Jharkhand,822123.0"
Jate,Jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105.0,"JATE,Jharkhand","JATE,PASHCHIMI SINGHBHUM,Jharkhand","JATE,GUDRI,Jharkhand","JATE,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand","JATE,Jharkhand,833105.0"
Jhabar,Jharkhand,PALAMU,DALTONGANJ,822126.0,"JHABAR,Jharkhand","JHABAR,PALAMU,Jharkhand","JHABAR,DALTONGANJ,Jharkhand","JHABAR,DALTONGANJ,PALAMU,Jharkhand","JHABAR,Jharkhand,822126.0"
Jhilimili,Odisha,KORAPUT,BORIGUMMA,764056.0,"JHILIMILI,Odisha","JHILIMILI,KORAPUT,Odisha","JHILIMILI,BORIGUMMA,Odisha","JHILIMILI,BORIGUMMA,KORAPUT,Odisha","JHILIMILI,Odisha,764056.0"
Jiabahal,Odisha,SUNDERGARH,LATHIKATA,770031.0,"JIABAHAL,Odisha","JIABAHAL,SUNDERGARH,Odisha","JIABAHAL,LATHIKATA,Odisha","JIABAHAL,LATHIKATA,SUNDERGARH,Odisha","JIABAHAL,Odisha,770031.0"
Jilinggutu,Jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833103.0,"JILINGGUTU,Jharkhand","JILINGGUTU,PASHCHIMI SINGHBHUM,Jharkhand","JILINGGUTU,GUDRI,Jharkhand","JILINGGUTU,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand","JILINGGUTU,Jharkhand,833103.0"
Jiro,Jharkhand,PALAMU,PANKI,822122.0,"JIRO,Jharkhand","JIRO,PALAMU,Jharkhand","JIRO,PANKI,Jharkhand","JIRO,PANKI,PALAMU,Jharkhand","JIRO,Jharkhand,822122.0"
Joginiya,Uttar Pradesh,BALRAMPUR,PACHPERWA,271605.0,"JOGINIYA,Uttar Pradesh","JOGINIYA,BALRAMPUR,Uttar Pradesh","JOGINIYA,PACHPERWA,Uttar Pradesh","JOGINIYA,PACHPERWA,BALRAMPUR,Uttar Pradesh","JOGINIYA,Uttar Pradesh,271605.0"
Jolhawigaha,Jharkhand,PALAMU,PANKI,822121.0,"JOLHAWIGAHA,Jharkhand","JOLHAWIGAHA,PALAMU,Jharkhand","JOLHAWIGAHA,PANKI,Jharkhand","JOLHAWIGAHA,PANKI,PALAMU,Jharkhand","JOLHAWIGAHA,Jharkhand,822121.0"
Jorawerpur,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271201.0,"JORAWERPUR,Uttar Pradesh","JORAWERPUR,BALRAMPUR,Uttar Pradesh","JORAWERPUR,BALRAMPUR,Uttar Pradesh","JORAWERPUR,BALRAMPUR,BALRAMPUR,Uttar Pradesh","JORAWERPUR,Uttar Pradesh,271201.0"
Juginanda,Jharkhand,PASHCHIMI SINGHBHUM,JAGANNATHPUR,833214.0,"JUGINANDA,Jharkhand","JUGINANDA,PASHCHIMI SINGHBHUM,Jharkhand","JUGINANDA,JAGANNATHPUR,Jharkhand","JUGINANDA,JAGANNATHPUR,PASHCHIMI SINGHBHUM,Jharkhand","JUGINANDA,Jharkhand,833214.0"
Jungli Kalan,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"JUNGLI KALAN,Uttar Pradesh","JUNGLI KALAN,BALRAMPUR,Uttar Pradesh","JUNGLI KALAN,TULSIPUR,Uttar Pradesh","JUNGLI KALAN,TULSIPUR,BALRAMPUR,Uttar Pradesh","JUNGLI KALAN,Uttar Pradesh,271208.0"
Kachanpur,Jharkhand,PALAMU,CHHATARPUR,822113.0,"KACHANPUR,Jharkhand","KACHANPUR,PALAMU,Jharkhand","KACHANPUR,CHHATARPUR,Jharkhand","KACHANPUR,CHHATARPUR,PALAMU,Jharkhand","KACHANPUR,Jharkhand,822113.0"
Kachharipur,Bihar,SITAMARHI,SONBARSA,843317.0,"KACHHARIPUR,Bihar","KACHHARIPUR,SITAMARHI,Bihar","KACHHARIPUR,SONBARSA,Bihar","KACHHARIPUR,SONBARSA,SITAMARHI,Bihar","KACHHARIPUR,Bihar,843317.0"
Kada Jamda,Jharkhand,PASHCHIMI SINGHBHUM,NOAMUNDI,833212.0,"KADA JAMDA,Jharkhand","KADA JAMDA,PASHCHIMI SINGHBHUM,Jharkhand","KADA JAMDA,NOAMUNDI,Jharkhand","KADA JAMDA,NOAMUNDI,PASHCHIMI SINGHBHUM,Jharkhand","KADA JAMDA,Jharkhand,833212.0"
Kaida,Jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833104.0,"KAIDA,Jharkhand","KAIDA,PASHCHIMI SINGHBHUM,Jharkhand","KAIDA,GOELKERA,Jharkhand","KAIDA,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand","KAIDA,Jharkhand,833104.0"
Kailash Garh,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271604.0,"KAILASH GARH,Uttar Pradesh","KAILASH GARH,BALRAMPUR,Uttar Pradesh","KAILASH GARH,BALRAMPUR,Uttar Pradesh","KAILASH GARH,BALRAMPUR,BALRAMPUR,Uttar Pradesh","KAILASH GARH,Uttar Pradesh,271604.0"
Kaili Bhagavanpur,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271208.0,"KAILI BHAGAVANPUR,Uttar Pradesh","KAILI BHAGAVANPUR,BALRAMPUR,Uttar Pradesh","KAILI BHAGAVANPUR,HARAIYA SATGHARWA,Uttar Pradesh","KAILI BHAGAVANPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","KAILI BHAGAVANPUR,Uttar Pradesh,271208.0"
Kainsari,Odisha,MAYURBHANJ,UDALA,757041.0,"KAINSARI,Odisha","KAINSARI,MAYURBHANJ,Odisha","KAINSARI,UDALA,Odisha","KAINSARI,UDALA,MAYURBHANJ,Odisha","KAINSARI,Odisha,757041.0"
Kakuita,Jharkhand,PASHCHIMI SINGHBHUM,JAGANNATHPUR,833203.0,"KAKUITA,Jharkhand","KAKUITA,PASHCHIMI SINGHBHUM,Jharkhand","KAKUITA,JAGANNATHPUR,Jharkhand","KAKUITA,JAGANNATHPUR,PASHCHIMI SINGHBHUM,Jharkhand","KAKUITA,Jharkhand,833203.0"
Kalam ,Odisha,KALAHANDI,BHAWANIPATNA,766001.0,"KALAM ,Odisha","KALAM ,KALAHANDI,Odisha","KALAM ,BHAWANIPATNA,Odisha","KALAM ,BHAWANIPATNA,KALAHANDI,Odisha","KALAM ,Odisha,766001.0"
Kalander Pur,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271604.0,"KALANDER PUR,Uttar Pradesh","KALANDER PUR,BALRAMPUR,Uttar Pradesh","KALANDER PUR,BALRAMPUR,Uttar Pradesh","KALANDER PUR,BALRAMPUR,BALRAMPUR,Uttar Pradesh","KALANDER PUR,Uttar Pradesh,271604.0"
Kalapara,Odisha,KORAPUT,KUNDRA,764005.0,"KALAPARA,Odisha","KALAPARA,KORAPUT,Odisha","KALAPARA,KUNDRA,Odisha","KALAPARA,KUNDRA,KORAPUT,Odisha","KALAPARA,Odisha,764005.0"
Kalyanpur,Uttar Pradesh,BALRAMPUR,PACHPERWA,815353.0,"KALYANPUR,Uttar Pradesh","KALYANPUR,BALRAMPUR,Uttar Pradesh","KALYANPUR,PACHPERWA,Uttar Pradesh","KALYANPUR,PACHPERWA,BALRAMPUR,Uttar Pradesh","KALYANPUR,Uttar Pradesh,815353.0"
Kamarbera,Jharkhand,PASHCHIMI SINGHBHUM,MANOHARPUR,833104.0,"KAMARBERA,Jharkhand","KAMARBERA,PASHCHIMI SINGHBHUM,Jharkhand","KAMARBERA,MANOHARPUR,Jharkhand","KAMARBERA,MANOHARPUR,PASHCHIMI SINGHBHUM,Jharkhand","KAMARBERA,Jharkhand,833104.0"
Kamarlaga,Odisha,BOLANGIR,SAINTALA,767032.0,"KAMARLAGA,Odisha","KAMARLAGA,BOLANGIR,Odisha","KAMARLAGA,SAINTALA,Odisha","KAMARLAGA,SAINTALA,BOLANGIR,Odisha","KAMARLAGA,Odisha,767032.0"
Kamat,Jharkhand,PALAMU,PANKI,822116.0,"KAMAT,Jharkhand","KAMAT,PALAMU,Jharkhand","KAMAT,PANKI,Jharkhand","KAMAT,PANKI,PALAMU,Jharkhand","KAMAT,Jharkhand,822116.0"
Kamda,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"KAMDA,Uttar Pradesh","KAMDA,BALRAMPUR,Uttar Pradesh","KAMDA,HARAIYA SATGHARWA,Uttar Pradesh","KAMDA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","KAMDA,Uttar Pradesh,271207.0"
Kanagam,Odisha,KORAPUT,BORIGUMMA,764056.0,"KANAGAM,Odisha","KANAGAM,KORAPUT,Odisha","KANAGAM,BORIGUMMA,Odisha","KANAGAM,BORIGUMMA,KORAPUT,Odisha","KANAGAM,Odisha,764056.0"
Kanahra,Uttar Pradesh,BALRAMPUR,TULSIPUR,271205.0,"KANAHRA,Uttar Pradesh","KANAHRA,BALRAMPUR,Uttar Pradesh","KANAHRA,TULSIPUR,Uttar Pradesh","KANAHRA,TULSIPUR,BALRAMPUR,Uttar Pradesh","KANAHRA,Uttar Pradesh,271205.0"
Kanchar Ashrafpur,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271307.0,"KANCHAR ASHRAFPUR,Uttar Pradesh","KANCHAR ASHRAFPUR,BALRAMPUR,Uttar Pradesh","KANCHAR ASHRAFPUR,REHRA BAZAR,Uttar Pradesh","KANCHAR ASHRAFPUR,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","KANCHAR ASHRAFPUR,Uttar Pradesh,271307.0"
Kandaila,Uttar Pradesh,BALRAMPUR,TULSIPUR,271205.0,"KANDAILA,Uttar Pradesh","KANDAILA,BALRAMPUR,Uttar Pradesh","KANDAILA,TULSIPUR,Uttar Pradesh","KANDAILA,TULSIPUR,BALRAMPUR,Uttar Pradesh","KANDAILA,Uttar Pradesh,271205.0"
Kanhauli,Bihar,SITAMARHI,SONBARSA,843317.0,"KANHAULI,Bihar","KANHAULI,SITAMARHI,Bihar","KANHAULI,SONBARSA,Bihar","KANHAULI,SONBARSA,SITAMARHI,Bihar","KANHAULI,Bihar,843317.0"
Kanjamendi,Odisha,KANDHAMAL,K.NUAGAM,762102.0,"KANJAMENDI,Odisha","KANJAMENDI,KANDHAMAL,Odisha","KANJAMENDI,K.NUAGAM,Odisha","KANJAMENDI,K.NUAGAM,KANDHAMAL,Odisha","KANJAMENDI,Odisha,762102.0"
Kankadahandi,Odisha,KORAPUT,JEYPORE,764005.0,"KANKADAHANDI,Odisha","KANKADAHANDI,KORAPUT,Odisha","KANKADAHANDI,JEYPORE,Odisha","KANKADAHANDI,JEYPORE,KORAPUT,Odisha","KANKADAHANDI,Odisha,764005.0"
Kansar,Odisha,SUNDERGARH,LATHIKATA,843316.0,"KANSAR,Odisha","KANSAR,SUNDERGARH,Odisha","KANSAR,LATHIKATA,Odisha","KANSAR,LATHIKATA,SUNDERGARH,Odisha","KANSAR,Odisha,843316.0"
Karagam,Odisha,NABARANGPUR,UMERKOTE,764072.0,"KARAGAM,Odisha","KARAGAM,NABARANGPUR,Odisha","KARAGAM,UMERKOTE,Odisha","KARAGAM,UMERKOTE,NABARANGPUR,Odisha","KARAGAM,Odisha,764072.0"
Karkatnasa,Odisha,SUNDERGARH,NUAGAON,770046.0,"KARKATNASA,Odisha","KARKATNASA,SUNDERGARH,Odisha","KARKATNASA,NUAGAON,Odisha","KARKATNASA,NUAGAON,SUNDERGARH,Odisha","KARKATNASA,Odisha,770046.0"
Karma,Jharkhand,PALAMU,SATBARWA,814149.0,"KARMA,Jharkhand","KARMA,PALAMU,Jharkhand","KARMA,SATBARWA,Jharkhand","KARMA,SATBARWA,PALAMU,Jharkhand","KARMA,Jharkhand,814149.0"
Karma,Jharkhand,PALAMU,CHHATARPUR,814149.0,"KARMA,Jharkhand","KARMA,PALAMU,Jharkhand","KARMA,CHHATARPUR,Jharkhand","KARMA,CHHATARPUR,PALAMU,Jharkhand","KARMA,Jharkhand,814149.0"
Karma Kala,Jharkhand,PALAMU,CHHATARPUR,822113.0,"KARMA KALA,Jharkhand","KARMA KALA,PALAMU,Jharkhand","KARMA KALA,CHHATARPUR,Jharkhand","KARMA KALA,CHHATARPUR,PALAMU,Jharkhand","KARMA KALA,Jharkhand,822113.0"
Karmaiti,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"KARMAITI,Uttar Pradesh","KARMAITI,BALRAMPUR,Uttar Pradesh","KARMAITI,HARAIYA SATGHARWA,Uttar Pradesh","KARMAITI,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","KARMAITI,Uttar Pradesh,271207.0"
Karmeli,Odisha,KALAHANDI,JAIPATNA,766018.0,"KARMELI,Odisha","KARMELI,KALAHANDI,Odisha","KARMELI,JAIPATNA,Odisha","KARMELI,JAIPATNA,KALAHANDI,Odisha","KARMELI,Odisha,766018.0"
Karuna,Bihar,SITAMARHI,SURSAND,843331.0,"KARUNA,Bihar","KARUNA,SITAMARHI,Bihar","KARUNA,SURSAND,Bihar","KARUNA,SURSAND,SITAMARHI,Bihar","KARUNA,Bihar,843331.0"
Kaseya,Jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833201.0,"KASEYA,Jharkhand","KASEYA,PASHCHIMI SINGHBHUM,Jharkhand","KASEYA,TANTNAGAR,Jharkhand","KASEYA,TANTNAGAR,PASHCHIMI SINGHBHUM,Jharkhand","KASEYA,Jharkhand,833201.0"
