words,js_file
ESAF SMALL FINANCE BANK,bank
ESAF SMALL FINANCE BANK LIMITED,nbfc
ESAF SMALL FINANCE BANK LTD,payments_npci
ESAF SMALL FINANCE BANK LTD,payments_nach
ESCORT JCB,vahan
ESCORTS,vahan
ESCORTS (AGRI MACHINERY GROUP),vahan
ESCORTS (CONSTRUCTION EQUIPMENT),vahan
ESCORTS AUTOMOTIVE,vahan
ESCORTS CONST EQUIPMENT,vahan
ESCORTS CONSTRUCTION EQUIPMENT,vahan
ESCORTS FINANCE LTD,mca
ESCORTS HEART AND SUPER SPECIALITYHOSPITAL LTD,mca
ESCORTS LTD,mca
ESCORTS R AND D CENTRE,vahan
ESCORTS SECURITIES,broking
ESCOSOFT TECHNOLOGIES LTD,mca
ESDS SOFTWARE SOLUTION PVT LTD,mca
ESHAAR AGRO TRAILERS,vahan
ESKAY K IT INDIA LTD,mca
ESKAYS CONSTRUCTIONS PVT LTD,mca
ESMARIO EXPORT ENTERPRISES PVT LTD,mca
ESPIRE INFOLABS,internet
ESPIRE INFOLABS PVT LTD,mca
ESPRESSO FINANCIAL SERVICES,broking
ESS AUTOCARE,vahan
ESS DEE ALUMINIUM LTD,mca
ESSAR AGROTECH LTD,mca
ESSAR BULK TERMINAL LTD,mca
ESSAR BULK TERMINAL PARADIP LTD,mca
ESSAR ENGINEERING,vahan
ESSAR HOUSE PVT LTD,mca
ESSAR INFRASTRUCTURE SERVICES PVT LTD,mca
ESSAR OIL LTD,ppac_crude_oil
ESSAR POWER GUJARAT LTD,mca
ESSAR POWER HAZIRA LTD,mca
ESSAR POWER JHARKHAND LTD,mca
ESSAR POWER LTD,power
ESSAR POWER LTD,mca
ESSAR POWER M P LTD,mca
ESSAR POWER ORISSA LTD,mca
ESSAR SHIPPING LTD,mca
ESSAR VIZAG TERMINALS LTD,mca
ESSEL FINANCE BUSINESS LOANS LIMITED,nbfc
ESSEL FINANCE BUSINESS LOANS LTD,mca
ESSEL GULBARGA SOLAR POWER PVT LTD,mca
ESSEL INFRAPROJECTS LTD,mca
ESSEL INTERNATIONAL LTD,mca
ESSEL MINING INDUSTRIES LIMITED,power
ESSEL UTILITIES DISTRIBUTION CO LTD,mca
ESSEL WALAJAHPET POONAMALLEE TOLL ROADS PVT LTD,mca
ESSENTIAL HOSPITALITY PVT LTD,mca
ESSGEE REAL ESTATE DEVELOPERS PRIVATE LIMITED,power
ESSKAY FORM EQUIPMENTS,vahan
ESTANCIA IT PARK PVT LTD,mca
ESTEE ADVISORS,broking
ESTER INDUSTRIES LTD,mca
ESTRA ENTERPRISES PVT LTD,mca
ESVEEAAR DISTILLERIES PVT LTDPART IX,mca
ESWARI ENGINEERING WORKS,vahan
ESYS INFORMATION TECHNOLOGIES PVT LTD,mca
ETA ENGINEERING PVT LTD,mca
ETA GENERAL PVT LTD,mca
ETA POWER GEN PVT LTD,mca
ETA PROPERTIES AND INVESTMENTS PVT LTD,mca
ETA STAR INFRASTRUCTURE LTD,mca
ETA STAR PROPERTY DEVELOPERS LTD,mca
ETA STAR TECHCITY PVT LTD,mca
ETAH DISTRICT CO OP BANK LTD,payments_nach
ETAWAH DISTRICT CO OP BANK LTD ETWAH,payments_nach
ETAWAH URBAN CO OP BANK LTD ETAWAH,payments_nach
ETCO DENIM PVT LTD,mca
ETCO INDUSTRIES PVT LTD,mca
ETERNAL HEART CARE CENTRE AND RESEARCHINSTITUTE PVT LTD,mca
ETESIAN URJA LIMITED,power
ETHIRAJ AUTO UDYOG,vahan
ETHNIC AGROS LTD,mca
ETHNIC TOBACCO INDIA LTD,mca
ETHOS LTD,mca
ETISALAT DB TELECOM PVT LTD,mca
ETL POWER SERVICES LTD,mca
ETRIO AUTOMOBILES,vahan
ETT LTD,mca
EUGIA PHARMA SPECIALITIES LTD,mca
EULER MOTORS,vahan
EURASIAN MINERALS AND ENTERPRISES PVT LTD,mca
EUREKA OUTSOURCING SOLUTIONS PVT LTD,mca
EUREKA STOCK & SHARE BROKING SERVICES,broking
EURO CERAMICS LTD,mca
EURO INDUSTRIAL ENTERPRISES PVT LTD,mca
EURO MULTIVISION LTD,mca
EUROFINS ADVINUS LTD,mca
EUROKIDS INTERNATIONAL PVT LTD,mca
EUROPEAN PROJECTS AND AVIATION LTD,mca
EUROTHERM HEMA RADIATORS INDIA LTD,mca
EUSI MOTORS,vahan
EUSU LOGISTICS INDIA PVT LTD,mca
EVAGE AUTOMOTIVE,vahan
EVAX INDIA,vahan
EVBHARAT RANGE,vahan
EVCO AUTOMOBILES,vahan
EVERBLUE APPAREL LTD,mca
EVEREADY INDUSTRIES INDIA LTD,mca
EVEREADY SPINNING MILLS PVT LTD,mca
EVEREST AGRO INDUSTRIES,vahan
EVEREST ENGG,vahan
EVEREST INDUSTRIES LTD,mca
EVEREST INFRA ENERGY LTD,mca
EVEREST KANTO CYLINDER LTD,mca
EVEREST POWER PVT LTD,mca
EVEREST TRAILERS,vahan
EVERGREEN AGRO AGENCIES,vahan
EVERGROWING IRON AND FINVEST PVT LTD,mca
EVERONN EDUCATION LTD,mca
EVERSENDAI CONSTRUCTION PVT LTD,mca
EVERSHINE OLEOCHEM LTD,mca
EVERTOGEN LIFE SCIENCES LTD,mca
EVERVE MOTORS,vahan
EVITA CONSTRUCTIONS PVT LTD,mca
EVOLUTION AUTOTECH,vahan
EVRY INDIA,internet
EVTRIC MOTORS,vahan
EWPL HOLDINGS PVT LTD,mca
EXACT DEVELOPERS AND PROMOTERS PVT LTD,mca
EXCEL METAL PROCESSORS PVT LTD,mca
EXCEL STOCK BROKING,broking
EXCEL VEHICLES PVT LTD,mca
EXCELLENT CO OP BANK LTD,payments_nach
EXCELSIOR MOTOR CO,vahan
EXCLUSIVE SECURITIES,broking
EXECUTIVE CENTRE INDIA PVT LTD,mca
EXECUTIVE TRADING CO PVT LTD,mca
EXERVAL,vahan
EXIDE,internet
EXIDE INDUSTRIES,vahan
EXIDE INDUSTRIES LTD,mca
EXIM IMPORT BANK OF INDIA,mca
EXIM RAJATHI INDIA PVT LTD,mca
EXL,internet
EXL SERVICECOMINDIA PVT LTD,mca
EXM PROJECT MOVERS PVT LTD,mca
EXPERIAN CREDIT INFORMATION CO OFINDIA PVT LTD,mca
EXPERIAN SERVICES INDIA PVT LTD,mca
EXPLEO,internet
EXPLEO GROUP,infotech
EXPO MACHINERY,vahan
EXPONENTIAL FINANCIAL SERVICES,broking
EXPORT DEVELOPMENT CANADA,mca
EXPORT IMPORT BANK OF INDIA,bank
EXPORT IMPORT BANK OF INDIA,mca
EXPORT IMPORT BANK OF INDIA,bank_test_only
EXPRESS INFRA FINANCIAL CONSULTANCY PVT LTD,mca
EXPRESS WAREHOUSING LTD,mca
EXTOL INDUSTRIES LTD,mca
EXTRA FAST SOLUTIONS,vahan
EXTRAMARKS EDUCATION,internet
EXTRAMILE GAS TECH,vahan
EXTRAWEAVE PVT LTD,mca
EXTREME MOTORS,vahan
EY,internet
EYE Q VISION PVT LTD,mca
EZENTECH INDIA PVT LTD,mca
Early Foods,fmcg_amazon
Easy,fmcg_amazon
Eco,fmcg_amazon
Edelweiss,general_insurance
Edelweiss MF,amc
Edelweiss Tokio,life_insurance
Eden Renewable ,power
Eeza,fmcg_amazon
Eicher Motors,store_locator
Ektaa,fmcg_amazon
"Electricity Deptt., Govt. of Manipur",power
Electronic,fmcg_amazon
Electrosteel Steels Ltd,fois
Elina,fmcg_amazon
Elite,fmcg_amazon
Elle,fmcg_amazon
Elle18,fmcg_amazon
Elove,fmcg_amazon
Emami,fmcg_amazon
Emami Cement Ltd,fois
Emcure,fmcg_amazon
Empty,fmcg_amazon
Enchanteur,fmcg_amazon
Endura,fmcg_amazon
Energy,fmcg_amazon
Enfamil,fmcg_amazon
English,fmcg_amazon
Ensure,fmcg_amazon
Epicurea,fmcg_amazon
Epigamia,fmcg_amazon
Epsilon Carbon Private Ltd,fois
Ess,fmcg_amazon
Essar Power Ltd,power
Essensity,fmcg_amazon
Essentials,fmcg_amazon
Everest,fmcg_amazon
Evereve,fmcg_amazon
Everteen,fmcg_amazon
Excitel,telecom
Exclusivelane,fmcg_amazon
Exide,life_insurance
Exotic,fmcg_amazon
Express,fmcg_amazon
Eye,fmcg_amazon
Eyebrow,fmcg_amazon
Ezee,fmcg_amazon
Ezey,fmcg_amazon
F E INDUSTRIES PVT LTD,mca
F M HAMMERLE TEXTILES LTD,mca
F6 FINSERVE,broking
FABTECH PROJECTS AND ENGINEERS LTD,mca
FABTECH SUGAR LTD,mca
FACOR ALLOYS LTD,mca
FACOR POWER LTD,mca
FACOR STEELS LTD,mca
FACT RCF BUILDING PRODUCTS LTD,mca
FACT SOFTWARE PVT LTD,mca
FACTSET,internet
FAIR EXPORTS INDIA PVT LTD,mca
FAIR INTERMEDIATE INVESTMENTS,broking
FAIRFIELD ATLAS LTD,mca
FAIRWEALTH SECURITIES,broking
FAITH BUILDTECH PVT LTD,mca
FAIYAZA FAIYAZ AUTO,vahan
FALCON INDIA,vahan
FALCON INFRASTRUCTURES LTD,mca
FALCON TECHNOSYSTEMS LTD,mca
FALCON TYRES LTD,mca
FAME TRACTOR,vahan
FAMOUS FABRICATORS,vahan
FAMPAY PPI,payments_upi_apps
FANUC INDIA PVT LTD,mca
FARAKKA RAIGANJ HIGHWAYS LTD,mca
FARGO AUTO,vahan
FARID AUTOMOBILES,vahan
FARM MECHANISE INDUSTRIES,vahan
FARM PLATE DAIRY PRODUCE PVT LTD,mca
FARMA ENGINEERING WORKS,vahan
FARMAX EQUIPMENTS SAMBALPUR,vahan
FARMAX INDIA LTD,mca
FARMER TRACTOR,vahan
FARMER TRACTOR METODA G I D C,vahan
FARMTECH AGRO INDUSTRIES,vahan
FARSIGHT SECURITIES,broking
FAST CAPITAL MARKETS,broking
FASTWAY TRANSMISSIONS PVT LTD,mca
FAUN,vahan
FAURECIA AUTOMOTIVE SEATING INDIA PVT LTD,mca
FAURECIA EMISSIONS CONTROL TECHNOLOGIESINDIA PVT LTD,mca
FAVE,payments_upi_apps
FAYAZ ENGINEERING WORKS,vahan
FAZE THREE LTD,mca
FCA INDIA AUTOMOBILES,vahan
FCAIAP FCA INDIA AUTOMOBILES,vahan
FCML DISTRIBUTORS PVT LTD,mca
FCS SOFTWARE SOLUTIONS LTD,mca
FDC LTD,mca
FEDBANK FINANCIAL SERVICES LIMITED,mca
FEDBANK FINANCIAL SERVICES LTD,mca
FEDDERS ELECTRIC AND ENGINEERING LTD,mca
FEDE INDUSTRIES,vahan
FEDERAL BANK,payments_npci
FEDERAL BANK,bank
FEDERAL BANK,bank_test_only
FEDERAL BANK,payments_nach
FEDERAL BANK,bank_basel
FEDERAL BANK,bank_2
FEDERAL BANK APP,payments_upi_apps
FEDERAL BANK LTD,mca
FEDERAL MOGUL GOETZE INDIA LTD,mca
FEDERAL MOGUL MOTORPARTS INDIA LTD,mca
FEEDBACK ENERGY DISTRIBUTION CO LTD,mca
FEEDBACK HIGHWAYS OMT PVT LTD,mca
FEEDBACK INFRA PVT LTD,mca
FERIS SPINTEX PVT LTD,mca
FERMENTA BIOTECH LTD,mca
FERN HEALTHCARE PVT LTD,mca
FERNAS CONSTRUCTION INDIA PVT LTD,mca
FERNHILL HOTELS PVT LTD,mca
FEROKE CO OP BANK LTD,payments_nach
FERRARI INDIA,vahan
FERRO ALLOYS CORP LTD,mca
FERTICHEM COTSPIN LTD,mca
FERTILISERS AND CHEMICALS TRAVANCORE LTD,mca
FERVENT SYNERGIES LTD,mca
FIADO INDUSTRIES,vahan
FIAT INDIA AUTOMOBILES,vahan
FIAT INDIA AUTOMOBILES PVT LTD,mca
FIBCOM INDIA LTD,mca
FICUS PAX PVT LTD,mca
FICUS SECURITIES,broking
FIDELITY,internet
FIDELITY INTERNATIONAL,internet
FIELD MARSHAL,vahan
FIELDFRESH FOODS PVT LTD,mca
FIELDTRACK EARTHMOVERS,vahan
FIITJEE LTD,mca
FILATEX INDIA LTDTRCOFROM DELHI,mca
FIN BRAINS SECURITIES (INDIA),broking
FINANCE MONITOR INDIA,broking
FINANCIAL COOPERATIVE BANK,bank
FINANCIAL SOFTWARE AND SYSTEMS PVT LTD,mca
FINCAP PORTFOLIO,broking
FINCARE SMALL FINANCE BANK,bank_2
FINCARE SMALL FINANCE BANK,bank_test_only
FINCARE SMALL FINANCE BANK,bank
FINCARE SMALL FINANCE BANK LIMITED,nbfc
FINCARE SMALL FINANCE BANK LTD,payments_nach
FINDOC INVESTMART,broking
FINE EQUIPMENTS INDIA,vahan
FINE JEWELLERY MANUFACTURING LTD,mca
FINECRETE ECO BLOCKS PVT LTD,mca
FINECURE PHARMACEUTICALS,internet
FINEHOPE ALLIED ENGINEERING PVT LTD,mca
FINGROWTH CO OP BANK LTD,payments_nach
FINGROWTH COOPERATIVE BANK,bank
FINO FINANCE PRIVATE LIMITED,nbfc
FINO PAYMENTS BANK,bank_2
FINO PAYMENTS BANK,bank
FINO PAYMENTS BANK,bank_test_only
FINO PAYMENTS BANK,payments_npci
FINO PAYMENTS BANK APP,payments_upi_apps
FINO PAYTECH LTD,mca
FINOLEX CABLES LTD,mca
FINOLEX INDUSTRIES LTD,mca
FINQUEST FINANCIAL SOLUTIONS PRIVATE LIMITED,nbfc
FINQUEST FINANCIAL SOLUTIONS PVT LTD,mca
FINQUEST SECURITIES,broking
FINSERV MARKETS,payments_upi_apps
FINSHELL PAY,payments_upi_apps
FINVASIA SECURITIES,broking
FINWIZARD TECHNOLOGY,broking
FIREFLY BATTERIES PVT LTD,mca
FIREPRO SYSTEMS PVT LTD,mca
FIRESTAR DIAMOND INTERNATIONAL PVT LTD,mca
FIROZABAD ZILA SAHKARI BANK LTD,payments_nach
FIROZE FABRICATORS,vahan
FIRST ABU DHABI BANK PJSC,bank_test_only
FIRST ABU DHABI BANK PJSC,bank
FIRST AMERICAN,internet
FIRST CARBON TECHNOLOGIES PVT LTD,mca
FIRST CHOICE ELECTRIC VEHICLES,vahan
FIRST FINANCIAL HOLDINGS,broking
FIRST FLIGHT COURIERS LTD,mca
FIRST FORGE LTD,mca
FIRST FUTURES AND STOCKS,broking
FIRST GLOBAL STOCKBROKING,broking
FIRST RAND BANK,bank
FIRST RAND BANK,bank_test_only
FIRST WINNER INDUSTRIES LTD,mca
FIRSTRAND BANK,bank
FIRSTRAND BANK,bank_2
FIRSTRAND BANK,bank_test_only
FIRSTSOURCE,infotech
FIRSTSOURCE SOLUTIONS LIMITED,infotech
FIRSTSOURCE SOLUTIONS LTD,mca
FIS PAYMENT SOLUTIONS AND SERVICES INDIA PVT LTD,mca
FISERV,internet
FIVE CORE EXIM LTD,mca
FIVE ELEMENTS,vahan
FIVE STARS BULKCARRIERS PVT LTD,mca
FIVE VISION PROMOTERS PVT LTD,mca
FJM CYLINDERS PVT LTD,mca
FLAKTGROUP INDIA PVT LTD,mca
FLEMING LABORATORIES LTD,mca
FLEUR HOTELS PVT LTD,mca
FLEX ART FOIL LTD,mca
FLEX FOODS LTD,mca
FLEXTRONICS TECHNOLOGIES INDIA PVT LTD,mca
FLICKER PROJECTS PVT LTD,mca
FLIPKART,internet
FLOMETALLIC INDIA PVT LTD,mca
FLORAM SHOES INDIA PVT LTD,mca
FLORIND SHOES PVT LTD,mca
FLOURISH FINCAP,broking
FLOURISH PUREFOODS PVT LTD,mca
FLOWMORE LTD,mca
FLSMIDTH PVT LTD,mca
FLYJAC LOGISTICS PVT LTD,mca
FNF INDIA PVT LTD,mca
FNO INDIA SECURITIES,broking
FOCUS BRANDS TRADING INDIA PVT LTD,mca
FOCUS ENERGY LTD,mca
FOCUS SHARES & SECURITIES,broking
FOCUZ CORP PVT LTD,mca
FOMENTO RESORTS AND HOTELS LTD,mca
FONEX,vahan
FORBES AND CO LTD,mca
FORBES TECHNOSYS LTD,mca
FORCE MOTORS,vahan
FORCE MOTORS A FIRODIA ENTERPRISE,vahan
FORCE MOTORS LTD,mca
FORCE MOTORS PUNE,vahan
FORD,internet
FORD INDIA,vahan
FORD INDIA PVT LTD,mca
FOREFRONT LOGISTICS PVT LTD,mca
FOREST DEVELOPMENT CORP OFMAHARASHTRA LTD,mca
FOREVER PRECIOUS JEWELLERY AND DIAMONDS LTD,mca
FOREX FASTNERS (P) AGRO DIVISION,vahan
FORT GLOSTER INDUSTRIES LTD,mca
FORT SHARE BROKING,broking
FORTIS,internet
FORTIS HEALTHCARE HOLDINGS PRIVATE LIMITED,nbfc
FORTIS HEALTHCARE HOLDINGS PVT LTD,mca
FORTIS HOSPITALS LTD,mca
FORTIS HOSPOTEL LTD,mca
FORTUM ,power
FORTUM AMRIT ENERGY PVT LTD,mca
FORTUNE BIOTECH LTD,mca
FORTUNE CAPITAL SERVICES,broking
FORTUNE CREDIT CAPITAL LTD,mca
FORTUNE FISCAL,broking
FORTUNE FIVE HYDEL PROJECTS PVT LTD,mca
FORTUNE R BUILDCO DEVELOPERS PVT LTD,mca
FORTUNE WEALTH MANAGEMENT COMPANY INDIA (P),broking
FORUM HOMES PVT LTD,mca
FORUM I AVIATION PVT LTD,mca
FORUM PROJECTS PVT LTD,mca
FORWARD SHOES INDIA PVT LTD,mca
FOTON MOTORS MANUFACTURING INDIA,vahan
FOUNDATION STONE PROPERTIES PVT LTD,mca
FOUR SEASONS WINES LTD,mca
FOURCEE INFRASTRUCTURE EQUIPMENTS PVT LTD,mca
FOURRTS INDIA LABORATORIES PVT LTD,mca
FOZAL POWER PVT LTD,mca
FRACTAL ANALYTICS,internet
FRANCHISE INDIA HOLDINGS,internet
FRANKE FABER INDIA PVT LTD,mca
FRANKFINN,internet
FRANKLIN EV INDIA,vahan
FRANKLIN TEMPLETON,internet
FRANKLIN TEMPLETON INTERNATIONAL SERVICES,internet
FRANKLIN TEMPLETON INTERNATIONALSERVICES INDIA PVT LTD,mca
FRATELLI WINES PVT LTD,mca
FREE CULTURE APPARELS PVT LTD,mca
FREECHARGE,payments_upi_apps
FREEPLAY ENERGY INDIA LTD,mca
FREMANTLE INDIA TELEVISION PRODUCTIONSPVT LTD,mca
FRESENIUS KABI INDIA PVT LTD,mca
FRESENIUS KABI ONCOLOGY LTD,mca
FRESENIUS MEDICAL CARE DIALYSIS SERVICESINDIA PVT LTD,mca
FRESHTROP FRUITS LTD,mca
FRESHWORKS,internet
FREUDENBERG NOK PVT LTD,mca
FRIENDS AGRO INDUSTRIES,vahan
FRIENDS BULK HANDLERS LTD,mca
FRIENDS ENGG WORKS PEDDAPALLI,vahan
FRIGOGLASS INDIA PVT LTD,mca
FRISCO GLOBAL PVT LTD,mca
FRITZMEIER MOTHERSON CABIN ENGINEERING PVT LTD,mca
FRONTIER LIFELINE PVT LTD,mca
FROST INTERNATIONAL LTD,mca
FRR FOREX PVT LTD,mca
FRR SHARES AND SECURITIES,broking
FRR SHARES AND SECURITIES LTD,mca
FRV,power
FS INDIA DEVCO PVT LTD,power
FUJI ROYAL HOTELS PVT LTD,mca
FUJITEC INDIA PVT LTD,mca
FUJITSU INDIA PVT LTD,mca
FULHAM INDIA PVT LTD,mca
FULL MARK PROMOTERS AND DEVELOPERS PVT LTD,mca
FULLERTON INDIA CREDIT CO LTD,mca
FULLERTON INDIA CREDIT COMPANY LTD,nbfc
FULLERTON SECURITIES & WEALTH ADVISORS,broking
FURNACE FABRICA INDIA LTD,mca
FURTADOS MUSIC INDIA PVT LTD,mca
FURUKAWA MINDA ELECTRIC PVT LTD,mca
FUSE MEDIA PVT LTD,mca
FUSION MICRO FINANCE LIMITED,nbfc
FUSION MICROFINANCE PRIVATE LIMITED,nbfc
FUTURA POLYESTERS LTD,mca
FUTURE BRANDS LTD,mca
FUTURE CAPITAL SECURITIES,broking
FUTURE CONSUMER LTD,mca
FUTURE CORPORATE RESOURCES LTD,mca
FUTURE E COMMERCE INFRASTRUCTURE LTD,mca
FUTURE ENTERPRISES LTD,mca
FUTURE GENERALI INDIA INSURANCE COMPANY LIMITED,nbfc
FUTURE GENERALI INDIA LIFE INSURANCE CO LTD,mca
FUTURE LIFESTYLE FASHIONS LTD,mca
FUTURE MARKET NETWORKS LTD,mca
FUTURE MEDIA INDIA LTD,mca
FUTURE SHARP SKILLS LTD,mca
FUTUREBAZAAR INDIA LTD,mca
FUTUREGROW SPECTRUM RADIATION PVT LTD,mca
FUTURISTIC OFFSHORE SERVICES ANDCHEMICAL LTD,mca
FYERS SECURITIES,broking
Fabelle,fmcg_amazon
Faber,fmcg_amazon
Fabshield,fmcg_amazon
Faces,fmcg_amazon
Facescanada,fmcg_amazon
Faireye,fmcg_amazon
Fanta,fmcg_amazon
Farex,fmcg_amazon
Fargo,fmcg_amazon
Farmley,fmcg_amazon
Fashimo,fmcg_amazon
Fashion Shoes,fmcg_amazon
Fast,fmcg_amazon
Fastandup,fmcg_amazon
Fastrack,fmcg_amazon
Fastwell,fmcg_amazon
Fausto,fmcg_amazon
Fcl,fmcg_amazon
Femora,fmcg_amazon
Fentacia,fmcg_amazon
Feroc,fmcg_amazon
Ferrero,fmcg_amazon
Fiama,fmcg_amazon
Fiebings,fmcg_amazon
Fiesto Fashion,fmcg_amazon
Figaro,fmcg_amazon
Fine Arch,fmcg_amazon
Fine Tech Corporation Pvt. Ltd,fois
Finish,fmcg_amazon
Fishermans Friend,fmcg_amazon
Fit Labs,fmcg_amazon
Fitbit,fmcg_amazon
Fitletic,fmcg_amazon
Fitnaxx,fmcg_amazon
Fix My Curls,fmcg_amazon
Fixderma,fmcg_amazon
Flamingo,fmcg_amazon
Flash,fmcg_amazon
Flavaa,fmcg_amazon
Flavours,fmcg_amazon
Flawish,fmcg_amazon
Flite,fmcg_amazon
Flovein,fmcg_amazon
FlyBig,aviation
Flying Berry,fmcg_amazon
Fofizon,fmcg_amazon
Fogg,fmcg_amazon
Food,fmcg_amazon
Food Library The,fmcg_amazon
Foot,fmcg_amazon
Footful,fmcg_amazon
Footonrest,fmcg_amazon
Footrendz,fmcg_amazon
Footshez,fmcg_amazon
Forever,fmcg_amazon
Fortune,fmcg_amazon
Fostelo,fmcg_amazon
Foster,fmcg_amazon
Fovera,fmcg_amazon
Fox,fmcg_amazon
Fragata,fmcg_amazon
Franklin Templeton MF,amc
Fraternity,fmcg_amazon
French,fmcg_amazon
Frenchs,fmcg_amazon
Fresh,fmcg_amazon
Freshee,fmcg_amazon
Freshlook,fmcg_amazon
Freshmetz,fmcg_amazon
Freshtohome,fmcg_amazon
Friends,fmcg_amazon
Fruit,fmcg_amazon
Fruit Forest,fmcg_amazon
Fruitaco,fmcg_amazon
Fruitella,fmcg_amazon
Fruittella,fmcg_amazon
Fully,fmcg_amazon
Fun,fmcg_amazon
Funfoods,fmcg_amazon
Furiozz,fmcg_amazon
Future Generali,general_insurance
Future Generali India,life_insurance
Futurekart,fmcg_amazon
Fytika,fmcg_amazon
Fzyezy,fmcg_amazon
G AND G AUTOMOTIVE,vahan
G B AGRO INDUSTRIES,vahan
G C THREADS PVT LTD,mca
G CORP LOTUS MALL PVT LTD,mca
G CORP PVT LTD,mca
G D GOENKA PVT LTD,mca
G E W,vahan
G G L HOTEL AND RESORT CO LTD,mca
G IDENTITY SOLUTIONS PVT LTD,mca
G K AGRO INDUSTRIES,vahan
G K RICKSHAW,vahan
G K S ENG WORKS,vahan
G M INDIA,vahan
G M R ENG WORK SHOP,vahan
G M VEHICLE INDUSTRIES,vahan
G N ENGINEERING AND REWINDIES,vahan
G N ENTERPRISES,vahan
G N R C LTD,mca
G O STEEL PVT LTD,mca
G P PARSIK BANK,bank
G P REALTORS PVT LTD,mca
G R NATARAJAN AND CO,power
G S ATWAL AND CO ENGINEERS PVT LTD,mca
G S ENGINEERING WORKS,vahan
G S MAHANAGAR COOP BANK,bank
G S N ENGINEERING WORKS,vahan
G S V SECURITIES,broking
G T AND F,vahan
G WILLIAMS FABRICATIONS,vahan
GABA OVERSEAS PVT LTD,mca
GABLES PROMOTERS PVT LTD,mca
GABRIEL INDIA LTD,mca
GADCHIROLI DIST COOP BANK,bank
GADCHIROLI DISTRICT CENTRAL COOP BANK,bank
GADCHIROLI DISTRICT CENTRAL COOP BANK,bank_test_only
GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK,bank
GADHINGLAJ AGRO ALCOCHEM LTD,mca
GADRE MARINE EXPORT PVT LTD,mca
GAGAN FERROTECH LTD,mca
GAGAN PULSES PVT LTD,mca
GAGAN TRADING CO LTD TFR FROMMUMBAI TO DELHI,mca
GAHIR AGRICULTURAL INDUSTRIES,vahan
GAHIR AGRICULTURE INDUSTRIES,vahan
GAHIR INDUSTRIES,vahan
GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),vahan
GAIL GAS LTD,mca
GAIL INDIA LIMITED (RE),power
GAIL INDIA LTD,mca
GAIYA DAIRY FOODS PVT LTD,mca
GAJAANANDA JEWELLERY MAART PVT LTD,mca
GAJAANANDA JEWELLERY MART INDIA PVT LTD,mca
GAJALAXMI AGRO BELGAUM,vahan
GAJANAN ENG WORKS,vahan
GAJANAN SOLVEX LTD,mca
GAJANAND AGRICULTURAL WORKS,vahan
GAJANAND AGRO INDUSTRIES,vahan
GAJENDRA TRAILERS,vahan
GAJMER WORKS,vahan
GALIPOGLU HIDROMAS INDIA MANUFACTURING PVT LTD,mca
GAMA INFRAPROP PVT LTD,mca
GAMES WIN INDIA PVT LTD,mca
GAMESA INVESTMENT MANAGEMENT PRIVATE LIMITED,nbfc
GAMMA GREEN POWER PVT LTD,mca
GAMMA INVESTMENTS,broking
GAMMON INDIA LTD,mca
GAMMON INFRASTRUCTURE PROJECTS LTD,mca
GAMZEN INFRASTRUCTURE,vahan
GAMZEN PLAST,vahan
GANAPATI AGRO INDUSTRIES,vahan
GANAPATI INDIA INTERNATIONAL PVT LTD,mca
GANAPATI SERV AND FAB UNIT BHPTNA,vahan
GANATHA ENGG WORKS,vahan
GANDEM REACH BUILDERS,vahan
GANDEVI PEOPLES COOPBANK,bank
GANDEVI TA K SAH SANGH,vahan
GANDHAR OIL REFINERY INDIA LTD,mca
GANDHI AUTO CARE,vahan
GANDHI SECURITIES & INVESTMENT,broking
GANDHIBAG SAHAKARI BANK LTD NAGPUR,payments_nach
GANDHIDHAM CO OPERATIVE BANK,bank
GANDHIDHAM MERCANTILE COOP BANK,bank
GANDHIDHAM MERCANTILE COOPERATIVE BANK,bank
GANDHINAGAR NAGARIK COOP BANK,bank
GANDHINAGAR URBAN CO OP BANK,bank
GANDOUR INDIA FOOD PROCESSING PVT LTD,mca
GANESH AGR SID,vahan
GANESH AGRI PRODUCT PRO,vahan
GANESH AGRICULTURE WORK,vahan
GANESH AGRO INDUSTRIES,vahan
GANESH ENGINEERING WORK,vahan
GANESH GRAINS LTD,mca
GANESH HOUSING CORP LTD,mca
GANESH INDUSTRIES,vahan
GANESH SPONGE PVT LTD,mca
GANESH TRAILOR,vahan
GANESHA ECOSPHERE LTD,mca
GANGA ACROWOOLS LTD,mca
GANGA AGRO INDUSTRIES,vahan
GANGA BHAVANI ENGG WORKS KNR,vahan
GANGA ENGINEERING WORKS,vahan
GANGA ENTERPRISES,vahan
GANGA INDUSTRIAL CORP LTD,mca
GANGA IRON AND STEEL TRADING CO LTD,mca
GANGA KAVERI SEEDS PVT LTD,mca
GANGA MATHA TRAILER,vahan
GANGA NAGAR COMMODITY LTD,mca
GANGA PRODUCT AND REPAIRING,vahan
GANGA RETREAT AND TOWER PVT LTD,mca
GANGA STEEL INDUSTRIES,vahan
GANGA TEXTILES LTD,mca
GANGADI INVESTMENTS PRIVATE LIMITED,nbfc
GANGAKHED SUGAR AND ENERGY LTD,mca
GANGAMAI INDUSTRIES AND CONSTRUCTIONS LTD,mca
GANGANAGAR COMMODITY,broking
GANGDARI HYDRO POWER PVT LTD,mca
